,2022 Ranking,Company Name,CEO Name,CEO Salary,Median Worker Pay,Total Employees,Year Founded,Revenue (Billions),Profits (Billions),Assets (Billions),Market Value (Billions),Industry,Industry 2,CEO Salary to Worker Pay Multiplier
0,1,Berkshire Hathaway,Warren Edward Buffett,373204,58881,372000,1939,276.09,89.8,958.78,741.48,Diversified Financials,Financials,633.83
1,7,Apple,Tim Cook,98734394,68254,154000,1976,378.7,100.56,381.19,2640.32,Technology Hardware & Equipment,Information Technology,144657.3
2,9,Bank of America,Brian Moynihan,23729169,102497,208000,1998,96.83,31.0,3238.22,303.1,Banking,Financials,23151.09
3,11,Alphabet,Sundar Pichai,6322599,295884,156500,1998,257.49,76.03,359.27,1581.72,IT Software & Services,Communication Services,2136.85
4,12,Microsoft,Satya Nadella,54946310,190302,181000,1975,184.9,71.18,340.39,2054.37,IT Software & Services,Information Technology,28873.22
5,19,Verizon Communications,Hans Vestberg,20342871,122492,118400,1983,134.35,21.52,366.6,218.02,Telecommunications Services,Communication Services,16607.51
6,20,AT&T,John Stankey,24820879,107570,203000,1876,163.02,17.33,551.62,141.79,Telecommunications Services,Communication Services,23074.16
7,23,Walmart,C. Douglas McMillon,25670673,25335,2300000,1962,572.75,13.67,244.86,431.64,Retailing,Consumer Staples,101324.94
8,26,Chevron,Michael K. Wirth,22610285,183531,42595,1879,156.29,15.62,239.54,316.23,Oil & Gas Operations,Energy,12319.6
9,27,Citigroup,Jane Fraser,20541324,55285,223400,1998,79.94,18.23,2394.1,101.48,Diversified Financials,Financials,37155.33
10,32,Comcast,Brian L. Roberts,33978581,83840,189000,1963,116.38,14.16,275.9,205.72,Media,Communication Services,40527.89
11,34,Meta Platforms,Mark Elliot Zuckerberg,26823061,292785,71970,2004,117.93,39.37,165.99,499.86,IT Software & Services,Communication Services,9161.35
12,36,Morgan Stanley,James P. Gorman,34941635,137069,74814,1924,60.22,14.58,1222.23,150.95,Diversified Financials,Financials,25492.0
13,40,Johnson & Johnson,Joaquin Duato,26741959,90000,141700,1886,94.88,19.83,182.02,477.38,Drugs & Biotechnology,Health Care,29713.29
14,42,CVS Health,Karen S. Lynch,20388412,45010,300000,1963,291.98,7.91,240.5,133.52,Retailing,Health Care,45297.52
15,43,Pfizer,Albert Bourla,24353219,92986,79000,1849,81.49,21.98,181.48,271.83,Drugs & Biotechnology,Health Care,26190.2
16,51,Intel,Patrick Gelsinger,178590400,104400,121100,1968,79.02,19.87,168.41,190.29,Semiconductors,Information Technology,171063.6
17,67,AbbVie,Richard A. Gonzalez,23912154,149662,50000,2013,56.2,11.46,146.53,273.76,Drugs & Biotechnology,Health Care,15977.44
18,74,MetLife,Michel A. Khalaf,16621373,76392,43000,1868,71.08,6.55,759.71,57.39,Insurance,Financials,21758.0
19,76,The Home Depot,Edward P. Decker,13059751,28697,490600,1978,151.16,16.43,71.88,310.12,Retailing,Consumer Discretionary,45509.12
20,84,Cigna,David Cordani,19872266,66917,73700,1792,174.27,5.36,151.02,81.2,Insurance,Health Care,29696.89
21,85,Prudential Financial,Charles F. Lowrey,19799737,114931,40916,1875,70.93,7.61,937.58,43.6,Diversified Financials,Financials,17227.5
22,86,PepsiCo,Ramon L. Laguarta,25506607,52297,309000,1965,79.47,7.62,92.38,238.13,"Food, Drink & Tobacco",Consumer Staples,48772.6
23,88,Elevance Health,Gail K. Boudreaux,19348241,51005,98200,2004,144.35,6.24,100.49,121.25,Drugs & Biotechnology,Health Care,37934.01
24,90,American International Group,Peter S. Zaffino,21905220,71936,36600,1919,52.06,9.39,521.83,48.73,Insurance,Financials,30450.98
25,92,Cisco Systems,Chuck Robbins,29283936,117400,79500,1984,51.55,11.82,94.26,213.36,Technology Hardware & Equipment,Information Technology,24943.73
26,100,United Parcel Service,Carol B. Tomé,27620893,50379,534000,1907,97.2,12.89,69.4,163.03,Transportation,Industrials,54826.2
27,109,Raytheon Technologies,Gregory J. Hayes,23316063,112078,174000,2020,64.36,3.86,161.4,149.76,Aerospace & Defense,Industrials,20803.43
28,115,Oracle,Safara Catz,138192032,75043,132000,1977,41.83,7.56,108.64,203.34,IT Software & Services,Information Technology,184150.46
29,120,Thermo Fisher Scientific,Marc N. Casper ,21234358,83666,130000,1956,39.21,7.72,95.12,219.71,Health Care Equipment & Services,Health Care,25379.91
30,123,Costco Wholesale,W. Craig Jelinek,9905070,45450,288000,1983,210.22,5.51,63.08,253.39,Retailing,Consumer Staples,21793.33
31,126,Charter Communications,Thomas M. Rutledge,41860263,60007,93700,1993,51.68,4.65,143.39,97.92,Media,Communication Services,69758.97
32,128,ConocoPhillips,Ryan Lance,23886640,179428,9900,1875,46.06,8.08,90.66,124.43,Oil & Gas Operations,Energy,13312.66
33,135,Abbott Laboratories,Robert B. Ford,24914886,97952,113000,1888,44.51,7.7,75.2,210.98,Health Care Equipment & Services,Health Care,25435.81
34,139,Caterpillar,James Umpleby,24298032,51102,107700,1925,50.98,6.49,82.79,115.91,Capital Goods,Industrials,47548.1
35,143,Truist Financial,William H. Rogers Jr.,10395426,95659,52641,1872,23.19,6.44,544.34,67.64,Banking,Financials,10867.17
36,148,Visa,Alfred F. Kelly Jr.,28103602,152395,21500,1958,25.48,12.84,81.93,436.49,Business Services & Supplies,Information Technology,18441.29
37,150,Target,Brian Cornell,19758766,25501,450000,1902,106.0,6.95,53.81,111.76,Retailing,Consumer Discretionary,77482.32
38,153,Deere & Company,John C. May,19912826,82240,75600,1837,44.46,5.64,79.61,123.81,Capital Goods,Industrials,24213.07
39,159,Danaher,Rainer M. Blair,17152267,66203,80000,1984,30.28,6.46,83.39,189.4,Conglomerates,Health Care,25908.59
40,163,FedEx,Frederick W. Smith,10596150,39177,600000,1971,91.55,5.13,84.11,53.19,Transportation,Industrials,27046.86
41,166,Broadcom,Hock E. Tan,60703627,247541,20000,1961,28.5,7.83,73.22,239.64,Semiconductors,Information Technology,24522.66
42,172,Lockheed Martin,James D. Taiclet,18111211,110113,114000,1912,65.75,6.21,51.51,118.82,Aerospace & Defense,Industrials,16447.84
43,173,BlackRock,Laurence Douglas Fink,32587335,164492,18400,1988,20.3,6.14,152.65,100.8,Diversified Financials,Financials,19810.89
44,175,Duke Energy,Lynn J. Good,16451236,115895,27605,1904,25.1,3.91,174.18,87.98,Utilities,Utilities,14194.95
45,176,Dell Technologies,Michael Dell,3467347,70562,133000,1984,106.84,5.56,92.74,35.64,Technology Hardware & Equipment,Information Technology,4913.9
46,185,Honeywell International,Darius Adamczyk,26100120,75529,99000,1906,34.39,5.54,64.47,130.67,Conglomerates,Industrials,34556.42
47,191,Micron Technology,Sanjay Mehrotra,28840809,48310,43000,1978,31.17,9.02,63.7,77.51,Semiconductors,Information Technology,59699.46
48,195,HCA Healthcare,Samuel N. Hazen,20635260,56044,284000,1968,59.72,6.81,52.21,63.62,Health Care Equipment & Services,Health Care,36819.75
49,196,Dow,Jim Fitterling,24858892,95607,35700,1897,58.35,6.85,63.34,50.35,Chemicals,Materials,26001.12
50,207,Gilead Sciences,Daniel O'Day,19229466,211687,14400,1987,27.37,6.22,67.95,78.17,Drugs & Biotechnology,Health Care,9083.91
51,209,NVIDIA,Jensen Huang,23737661,217542,22473,1993,26.91,9.75,44.19,489.83,Semiconductors,Information Technology,10911.76
52,210,Amgen,Robert A. Bradway,21721154,130589,24200,1980,25.99,5.89,61.16,133.63,Drugs & Biotechnology,Health Care,16633.22
53,211,Union Pacific,Lance M. Fritz,14523819,89878,29905,1862,22.66,6.81,64.05,147.23,Transportation,Industrials,16159.48
54,215,Philip Morris International,Jacek Olczak,10557568,18196,69600,1847,31.51,9.0,41.73,159.18,"Food, Drink & Tobacco",Consumer Staples,58021.37
55,216,PayPal,Dan Schulman,32070353,83905,30900,1998,25.56,4.17,75.8,100.22,Business Services & Supplies,Information Technology,38222.22
56,222,Mondelez International,Dirk van de Put,16128320,31024,79000,2012,28.72,4.3,67.09,89.98,"Food, Drink & Tobacco",Consumer Staples,51986.59
57,223,McDonald's,Christopher J. Kempczinski,20028132,8897,200000,1955,23.22,7.55,53.85,185.03,"Hotels, Restaurants & Leisure",Consumer Discretionary,225111.07
58,236,Northrop Grumman,Kathy Warden,19876767,119721,88000,1994,35.67,7.0,42.58,69.84,Aerospace & Defense,Industrials,16602.57
59,238,Marathon Petroleum,Michael J. Hennigan,21185206,148850,17700,2009,119.78,1.72,85.37,48.64,Oil & Gas Operations,Energy,14232.59
60,241,Netflix,Reed Hastings Ted Sarandos,40823725,201743,11300,1997,30.4,5.01,45.33,95.68,Media,Communication Services,20235.51
