,ticker,company_name,median_worker_pay,pay_ratio,ceo_name,salary,industry
0,ADV,Advantage Solutions,"$14,328 ",721:01:00,Tanya Domier,"$10,330,444 ",Communication%20Services
1,AMC,AMC Entertainment,"$9,386 ","2,015:1",Adam Aron,"$18,909,546 ",Communication%20Services
2,AMCX,AMC Networks,"$64,652 ",185:01:00,Matthew Blank,"$6,967,220 ",Communication%20Services
3,ATEX,Anterix,"$300,000 ",24:01:00,Robert Schwartz,"$6,532,403 ",Communication%20Services
4,ATNI,ATN International,"$54,116 ",62:01:00,Michael Prior,"$3,379,851 ",Communication%20Services
5,ATUS,Altice USA,"$79,575 ",482:01:00,Dexter Goei,"$38,333,508 ",Communication%20Services
6,ATVI,Activision Blizzard,"$117,207 ",7:01,Robert Kotick,"$826,549 ",Communication%20Services
7,AUD,Audacy,"$56,639 ",33:01:00,David Field,"$2,511,305 ",Communication%20Services
8,BAND,Bandwidth,"$93,073 ",36:01:00,David Morken,"$3,384,684 ",Communication%20Services
9,CABO,Cable One,"$62,778 ",69:01:00,Julia Laulis,"$4,327,815 ",Communication%20Services
10,CARG,Cargurus,"$99,390 ",193:01:00,Jason Trevisan,"$19,211,250 ",Communication%20Services
11,CARS,Cars.com,"$77,171 ",91:01:00,T. Vetter,"$6,985,255 ",Communication%20Services
12,CCO,Clear Channel Outdoor,"$50,547 ",123:01:00,Christopher Eccleshare,"$6,234,771 ",Communication%20Services
13,CCOI,Cogent Communications,"$88,542 ",143:01:00,David Schaeffer,"$11,504,458 ",Communication%20Services
14,CDLX,Cardlytics,"$215,408 ",31:01:00,Lynne Laube,"$6,625,395 ",Communication%20Services
15,CHTR,Charter Communications,"$60,007 ",698:01:00,Thomas Rutledge,"$41,860,263 ",Communication%20Services
16,CMCSA,Comcast,"$83,840 ",405:01:00,Brian Roberts,"$33,978,581 ",Communication%20Services
17,CNK,Cinemark,"$5,584 ","1,353:1",Mark Zoradi,"$7,553,272 ",Communication%20Services
18,CNSL,Consolidated Communications,"$82,844 ",56:01:00,C. Udell,"$4,671,543 ",Communication%20Services
19,DHX,DHI Group,"$114,090 ",24:01:00,Art Zeile,"$2,702,822 ",Communication%20Services
20,DIS,The Walt Disney Company,"$50,430 ",644:01:00,Robert Chapek,"$32,464,293 ",Communication%20Services
21,DISCA,Warner Bros. Discovery,"$82,964 ","2,972:1",David Zaslav,"$246,573,481 ",Communication%20Services
22,DISH,DISH Network,"$58,161 ",50:01:00,W. Carlson,"$2,895,882 ",Communication%20Services
23,EA,Electronic Arts,"$115,569 ",172:01:00,Andrew Wilson,"$19,858,539 ",Communication%20Services
24,EB,Eventbrite,"$122,072 ",53:01:00,Julia Hartz,"$6,500,718 ",Communication%20Services
25,EVC,Entravision Communications,"$38,967 ",165:01:00,Walter Ulloa,"$6,442,220 ",Communication%20Services
26,EVER,EverQuote,"$94,637 ",15:01,Jayme Mendal,"$1,418,565 ",Communication%20Services
27,FOXA,Fox,"$91,803 ",237:01:00,Lachlan Murdoch,"$21,748,681 ",Communication%20Services
28,FWONA,Liberty Media,"$162,742 ",133:01:00,Gregory Maffei,"$21,575,769 ",Communication%20Services
29,FYBR,Frontier Communications Parent,"$80,800 ",262:01:00,Nick Jeffery,"$17,209,584 ",Communication%20Services
30,GCI,Gannett,"$48,419 ",160:01:00,Michael Reed,"$7,741,052 ",Communication%20Services
31,GOGO,Gogo,"$155,005 ",22:01,Oakleigh Thorne,"$3,345,530 ",Communication%20Services
32,GOOGL,Alphabet,"$295,884 ",21:01,Sundar Pichai,"$6,322,599 ",Communication%20Services
33,GSAT,Globalstar,"$84,524 ",10:01,David Kagan,"$871,997 ",Communication%20Services
34,GTN,Gray Television,"$46,627 ",237:01:00,Hilton Howell Jr.,"$11,515,178 ",Communication%20Services
35,IAC,IAC,"$62,542 ",86:01:00,Joseph Levin,"$5,365,063 ",Communication%20Services
36,IDT,IDT,"$38,075 ",27:01:00,Shmuel Jonas,"$1,027,500 ",Communication%20Services
37,IHRT,iHeartMedia,"$63,686 ",138:01:00,Robert Pittman,"$8,768,653 ",Communication%20Services
38,IMAX,IMAX,"$85,107 ",107:01:00,Richard Gelfond,"$9,081,442 ",Communication%20Services
39,IPG,The Interpublic Group of Companies,"$59,814 ",290:01:00,Philippe Krakowsky,"$17,371,647 ",Communication%20Services
40,IRDM,Iridium Communications,"$151,506 ",36:01:00,Matthew Desch,"$5,402,931 ",Communication%20Services
41,LBRDK,Liberty Broadband,"$84,277 ",214:01:00,Gregory Maffei,"$18,018,126 ",Communication%20Services
42,LGF.A,Lions Gate Entertainment,"$96,739 ",58:01:00,Jon Feltheimer,"$5,585,412 ",Communication%20Services
43,LILAK,Liberty Latin America,"$35,621 ","1,055:1",Balan Nair,"$37,576,803 ",Communication%20Services
44,LUMN,Lumen Technologies,"$75,984 ",298:01:00,Jeffrey Storey,"$22,654,781 ",Communication%20Services
45,LYV,Live Nation Entertainment,"$15,740 ",879:01:00,Michael Rapino,"$13,842,464 ",Communication%20Services
46,MAX,MediaAlpha,"$301,732 ",3:01,Steven Yi,"$1,018,780 ",Communication%20Services
47,MCS,The Marcus,"$8,597 ",446:01:00,Gregory Marcus,"$3,834,147 ",Communication%20Services
48,META,Meta Platforms,"$292,785 ",92:01:00,Mark Zuckerberg,"$26,823,061 ",Communication%20Services
49,MGNI,Magnite,"$126,485 ",145:01:00,Michael Barrett,"$18,291,589 ",Communication%20Services
50,MSGE,Madison Square Garden Entertainment,"$25,399 ",758:01:00,James Dolan,"$19,243,679 ",Communication%20Services
51,MSGS,Madison Square Garden Sports,"$59,310 ",140:01:00,Andrew Lustgarten,"$8,280,968 ",Communication%20Services
52,MTCH,Match Group,"$106,881 ",238:01:00,Sharmistha Dubey,"$25,397,675 ",Communication%20Services
53,NFLX,Netflix,"$201,743 ",202:01:00,Reed Hastings,"$40,823,725 ",Communication%20Services
54,NWSA,News,"$76,185 ",258:01:00,Robert Thomson,"$19,662,203 ",Communication%20Services
55,NXST,Nexstar Media Group,"$64,152 ",330:01:00,Perry Sook,"$21,145,853 ",Communication%20Services
56,NYT,The New York Times Company,"$143,071 ",41:01:00,Meredith Levien,"$5,755,526 ",Communication%20Services
57,OMC,Omnicom Group,"$50,612 ",395:01:00,John Wren,"$19,981,715 ",Communication%20Services
58,OOMA,Ooma,"$91,328 ",52:01:00,Eric Stang,"$4,736,784 ",Communication%20Services
59,PARA,Paramount Global,"$94,580 ",212:01:00,Robert Bakish,"$20,035,212 ",Communication%20Services
60,PINS,Pinterest,"$284,887 ",1:01,Benjamin Silbermann,"$199,100 ",Communication%20Services
61,PLTK,Playtika Holding,"$69,325 ",911:01:00,Robert Antokol,"$63,123,469 ",Communication%20Services
62,PUBM,PubMatic,"$72,954 ",118:01:00,Rajeev Goel,"$8,609,029 ",Communication%20Services
63,QNST,QuinStreet,"$73,983 ",58:01:00,Douglas Valenti,"$4,319,500 ",Communication%20Services
64,ROKU,Roku,"$262,665 ",69:01:00,Anthony Wood,"$18,133,692 ",Communication%20Services
65,SATS,EchoStar,"$112,859 ",16:01,Michael Dugan,"$1,775,101 ",Communication%20Services
66,SBGI,Sinclair Broadcast Group,"$53,677 ",289:01:00,Christopher Ripley,"$15,532,018 ",Communication%20Services
67,SCHL,Scholastic,"$39,417 ",136:01:00,Peter Warwick,"$5,178,808 ",Communication%20Services
68,SHEN,Shenandoah Telecommunications Company,"$70,275 ",34:01:00,Christopher French,"$2,420,824 ",Communication%20Services
69,SIRI,Sirius XM,"$139,882 ",233:01:00,Jennifer Witz,"$32,641,874 ",Communication%20Services
70,SSP,The E.W. Scripps,"$59,299 ",124:01:00,Adam Symson,"$7,353,669 ",Communication%20Services
71,SSTK,Shutterstock,"$140,603 ",41:01:00,Stan Pavlovsky,"$5,717,651 ",Communication%20Services
72,T,AT&T,"$107,570 ",231:01:00,John Stankey,"$24,820,879 ",Communication%20Services
73,TDS,Telephone and Data Systems,"$70,453 ",137:01:00,LeRoy Carlson Jr.,"$9,616,139 ",Communication%20Services
74,TGNA,TEGNA,"$62,496 ",111:01:00,David Lougee,"$6,958,477 ",Communication%20Services
75,THRY,Thryv,"$92,155 ",35:01:00,Joseph Walsh,"$3,268,711 ",Communication%20Services
76,TMUS,T-Mobile US,"$72,572 ",312:01:00,G. Sievert,"$22,610,659 ",Communication%20Services
77,TRIP,TripAdvisor,"$101,065 ",76:01:00,Stephen Kaufer,"$7,676,612 ",Communication%20Services
78,TRUE,TrueCar,"$163,598 ",22:01,Michael Darrow,"$3,608,731 ",Communication%20Services
79,TTD,The Trade Desk,"$194,939 ","4,283:1",Jeff Green,"$834,959,367 ",Communication%20Services
80,TTGT,TechTarget,"$76,426 ",138:01:00,Michael Cotoia,"$10,534,913 ",Communication%20Services
81,TTWO,Take-Two Interactive Software,"$70,096 ",2:01,Strauss Zelnick,"$142,996 ",Communication%20Services
82,USM,United States Cellular,"$81,760 ",79:01:00,Laurent Therivel,"$6,438,260 ",Communication%20Services
83,VZ,Verizon Communications,"$122,492 ",166:01:00,Hans Vestberg,"$20,342,871 ",Communication%20Services
84,WLY,John Wiley & Sons,"$54,568 ",91:01:00,Brian Napack,"$4,948,300 ",Communication%20Services
85,WOW,WideOpenWest,"$64,290 ",92:01:00,Teresa Elder,"$5,929,085 ",Communication%20Services
86,WWE,World Wrestling Entertainment,"$118,276 ",43:01:00,Vincent McMahon,"$5,051,547 ",Communication%20Services
87,YELP,Yelp,"$101,349 ",99:01:00,Jeremy Stoppelman,"$10,044,676 ",Communication%20Services
88,ZD,Ziff Davis,"$70,299 ",233:01:00,Vivek Shah,"$16,394,111 ",Communication%20Services
89,AAN,The Aaron's Company,"$33,632 ",178:01:00,Douglas Lindsay,"$5,998,425 ",Consumer%20Discretionary
90,AAP,Advance Auto Parts,"$24,960 ",403:01:00,Thomas Greco,"$10,052,271 ",Consumer%20Discretionary
91,ABG,Asbury Automotive Group,"$66,857 ",111:01:00,David Hult,"$7,452,895 ",Consumer%20Discretionary
92,ABNB,Airbnb,"$202,541 ",1:01,Brian Chesky,"$132,152 ",Consumer%20Discretionary
