,2022 Ranking,company_name,CEO,salary,median_worker_pay,Total Employees,Year Founded,Revenue (Billions),Profits (Billions),Assets (Billions),Market Value (Billions),Industry,industry,CEO Salary to Worker Pay Ratio
0,1,Berkshire Hathaway,Warren Edward Buffett,"$373,204 ","$58,881 ",372000,1939,276.09,89.8,958.78,741.48,Diversified Financials,Financials,633.83
1,7,Apple,Tim Cook,"$98,734,394 ","$68,254 ",154000,1976,378.7,100.56,381.19,2640.32,Technology Hardware & Equipment,Information%20Technology,144657.3
2,9,Bank of America,Brian Moynihan,"$23,729,169 ","$102,497 ",208000,1998,96.83,31.0,3238.22,303.1,Banking,Financials,23151.09
3,11,Alphabet,Sundar Pichai,"$6,322,599 ","$295,884 ",156500,1998,257.49,76.03,359.27,1581.72,IT Software & Services,Communication%20Services,2136.85
4,12,Microsoft,Satya Nadella,"$54,946,310 ","$190,302 ",181000,1975,184.9,71.18,340.39,2054.37,IT Software & Services,Information%20Technology,28873.22
5,19,Verizon Communications,Hans Vestberg,"$20,342,871 ","$122,492 ",118400,1983,134.35,21.52,366.6,218.02,Telecommunications Services,Communication%20Services,16607.51
6,20,AT&T,John Stankey,"$24,820,879 ","$107,570 ",203000,1876,163.02,17.33,551.62,141.79,Telecommunications Services,Communication%20Services,23074.16
7,23,Walmart,C. Douglas McMillon,"$25,670,673 ","$25,335 ",2300000,1962,572.75,13.67,244.86,431.64,Retailing,Consumer%20Staples,101324.94
8,26,Chevron,Michael K. Wirth,"$22,610,285 ","$183,531 ",42595,1879,156.29,15.62,239.54,316.23,Oil & Gas Operations,Energy,12319.6
9,27,Citigroup,Jane Fraser,"$20,541,324 ","$55,285 ",223400,1998,79.94,18.23,2394.1,101.48,Diversified Financials,Financials,37155.33
10,32,Comcast,Brian L. Roberts,"$33,978,581 ","$83,840 ",189000,1963,116.38,14.16,275.9,205.72,Media,Communication%20Services,40527.89
11,34,Meta Platforms,Mark Elliot Zuckerberg,"$26,823,061 ","$292,785 ",71970,2004,117.93,39.37,165.99,499.86,IT Software & Services,Communication%20Services,9161.35
12,36,Morgan Stanley,James P. Gorman,"$34,941,635 ","$137,069 ",74814,1924,60.22,14.58,1222.23,150.95,Diversified Financials,Financials,25492.0
13,40,Johnson & Johnson,Joaquin Duato,"$26,741,959 ","$90,000 ",141700,1886,94.88,19.83,182.02,477.38,Drugs & Biotechnology,Health%20Care,29713.29
14,42,CVS Health,Karen S. Lynch,"$20,388,412 ","$45,010 ",300000,1963,291.98,7.91,240.5,133.52,Retailing,Health%20Care,45297.52
15,43,Pfizer,Albert Bourla,"$24,353,219 ","$92,986 ",79000,1849,81.49,21.98,181.48,271.83,Drugs & Biotechnology,Health%20Care,26190.2
16,51,Intel,Patrick Gelsinger,"$178,590,400 ","$104,400 ",121100,1968,79.02,19.87,168.41,190.29,Semiconductors,Information%20Technology,171063.6
17,67,AbbVie,Richard A. Gonzalez,"$23,912,154 ","$149,662 ",50000,2013,56.2,11.46,146.53,273.76,Drugs & Biotechnology,Health%20Care,15977.44
18,74,MetLife,Michel A. Khalaf,"$16,621,373 ","$76,392 ",43000,1868,71.08,6.55,759.71,57.39,Insurance,Financials,21758.0
19,76,The Home Depot,Edward P. Decker,"$13,059,751 ","$28,697 ",490600,1978,151.16,16.43,71.88,310.12,Retailing,Consumer%20Discretionary,45509.12
20,84,Cigna,David Cordani,"$19,872,266 ","$66,917 ",73700,1792,174.27,5.36,151.02,81.2,Insurance,Health%20Care,29696.89
21,85,Prudential Financial,Charles F. Lowrey,"$19,799,737 ","$114,931 ",40916,1875,70.93,7.61,937.58,43.6,Diversified Financials,Financials,17227.5
22,86,PepsiCo,Ramon L. Laguarta,"$25,506,607 ","$52,297 ",309000,1965,79.47,7.62,92.38,238.13,"Food, Drink & Tobacco",Consumer%20Staples,48772.6
23,88,Elevance Health,Gail K. Boudreaux,"$19,348,241 ","$51,005 ",98200,2004,144.35,6.24,100.49,121.25,Drugs & Biotechnology,Health%20Care,37934.01
24,90,American International Group,Peter S. Zaffino,"$21,905,220 ","$71,936 ",36600,1919,52.06,9.39,521.83,48.73,Insurance,Financials,30450.98
25,92,Cisco Systems,Chuck Robbins,"$29,283,936 ","$117,400 ",79500,1984,51.55,11.82,94.26,213.36,Technology Hardware & Equipment,Information%20Technology,24943.73
26,100,United Parcel Service,Carol B. Tomé,"$27,620,893 ","$50,379 ",534000,1907,97.2,12.89,69.4,163.03,Transportation,Industrials,54826.2
27,109,Raytheon Technologies,Gregory J. Hayes,"$23,316,063 ","$112,078 ",174000,2020,64.36,3.86,161.4,149.76,Aerospace & Defense,Industrials,20803.43
28,115,Oracle,Safara Catz,"$138,192,032 ","$75,043 ",132000,1977,41.83,7.56,108.64,203.34,IT Software & Services,Information%20Technology,184150.46
29,120,Thermo Fisher Scientific,Marc N. Casper ,"$21,234,358 ","$83,666 ",130000,1956,39.21,7.72,95.12,219.71,Health Care Equipment & Services,Health%20Care,25379.91
30,123,Costco Wholesale,W. Craig Jelinek,"$9,905,070 ","$45,450 ",288000,1983,210.22,5.51,63.08,253.39,Retailing,Consumer%20Staples,21793.33
31,126,Charter Communications,Thomas M. Rutledge,"$41,860,263 ","$60,007 ",93700,1993,51.68,4.65,143.39,97.92,Media,Communication%20Services,69758.97
32,128,ConocoPhillips,Ryan Lance,"$23,886,640 ","$179,428 ",9900,1875,46.06,8.08,90.66,124.43,Oil & Gas Operations,Energy,13312.66
33,135,Abbott Laboratories,Robert B. Ford,"$24,914,886 ","$97,952 ",113000,1888,44.51,7.7,75.2,210.98,Health Care Equipment & Services,Health%20Care,25435.81
34,139,Caterpillar,James Umpleby,"$24,298,032 ","$51,102 ",107700,1925,50.98,6.49,82.79,115.91,Capital Goods,Industrials,47548.1
35,143,Truist Financial,William H. Rogers Jr.,"$10,395,426 ","$95,659 ",52641,1872,23.19,6.44,544.34,67.64,Banking,Financials,10867.17
36,148,Visa,Alfred F. Kelly Jr.,"$28,103,602 ","$152,395 ",21500,1958,25.48,12.84,81.93,436.49,Business Services & Supplies,Information%20Technology,18441.29
37,150,Target,Brian Cornell,"$19,758,766 ","$25,501 ",450000,1902,106.0,6.95,53.81,111.76,Retailing,Consumer%20Discretionary,77482.32
